id,name,email,phone_number,date_of_birth,valid_email,email_correction_status,valid_phone,phone_correction_status,valid_dob,dob_correction_status
2,nmaspyl,bicbvlrcjwE,4471077i,1974-19-63,invalid@example.com,non-correctable,00000000,non-correctable,1974-19-63,valid
4,fjtqqox,zcbfjdnvdiD,5488888C,1972-98-62,invalid@example.com,non-correctable,00000000,non-correctable,1972-98-62,valid
7,vfoijpt,dzmixkshzrf,7326604Y,1992-73-55,invalid@example.com,non-correctable,00000000,non-correctable,1992-73-55,valid
8,eitscow,uxmlujdxalh,8058680c,1987-37-42,invalid@example.com,non-correctable,00000000,non-correctable,1987-37-42,valid
10,kroduzk,cedilesnuhQ,0041069x,1980-58-56,invalid@example.com,non-correctable,00000000,non-correctable,1980-58-56,valid
11,sirwtps,lfdjnndhvsq,8064152M,1993-70-49,invalid@example.com,non-correctable,00000000,non-correctable,1993-70-49,valid
13,cwocrcu,vllklbfloes,2950200j,1999-89-59,invalid@example.com,non-correctable,00000000,non-correctable,1999-89-59,valid
15,vgxtxnj,fpuvguuumuY,9688599m,1996-37-34,invalid@example.com,non-correctable,00000000,non-correctable,1996-37-34,valid
21,ouwnbik,kuvfdsrjprR,2600462E,1985-75-53,invalid@example.com,non-correctable,00000000,non-correctable,1985-75-53,valid
22,inpdxoo,ikmanzkryiD,4391294x,1984-93-54,invalid@example.com,non-correctable,00000000,non-correctable,1984-93-54,valid
24,xmumbxn,vaxjyxazyvr,0589907x,1995-96-72,invalid@example.com,non-correctable,00000000,non-correctable,1995-96-72,valid
26,efaecnr,utwkytbnmtg,4645767Z,1995-49-47,invalid@example.com,non-correctable,00000000,non-correctable,1995-49-47,valid
27,wlougxr,rjjmobqkdtf,7496148z,1982-40-42,invalid@example.com,non-correctable,00000000,non-correctable,1982-40-42,valid
28,iiixlea,bmcqvidztnz,3750221J,1994-13-51,invalid@example.com,non-correctable,00000000,non-correctable,1994-13-51,valid
30,vhnagvl,zzyecskbvsM,9208206W,1981-97-72,invalid@example.com,non-correctable,00000000,non-correctable,1981-97-72,valid
32,hgimprx,hifeqtwrzhn,8217001G,1998-38-63,invalid@example.com,non-correctable,00000000,non-correctable,1998-38-63,valid
34,qjcbdcp,wkkyxgyfazo,5768064C,1972-60-47,invalid@example.com,non-correctable,00000000,non-correctable,1972-60-47,valid
35,vusysao,bcsvlsgtlnk,3356889I,1993-25-91,invalid@example.com,non-correctable,00000000,non-correctable,1993-25-91,valid
36,vemsbnc,llucmfpqqyE,8549109G,1989-30-40,invalid@example.com,non-correctable,00000000,non-correctable,1989-30-40,valid
38,hifjalv,wbzhpwivdcK,0370976a,1994-48-35,invalid@example.com,non-correctable,00000000,non-correctable,1994-48-35,valid
40,pnsypnv,ywgzgxryuch,9987326b,1974-50-48,invalid@example.com,non-correctable,00000000,non-correctable,1974-50-48,valid
42,xgetjlf,gbjtihinjoY,5634824j,1998-96-99,invalid@example.com,non-correctable,00000000,non-correctable,1998-96-99,valid
43,vaitpql,ofxxepbaxjB,8260922t,1987-21-56,invalid@example.com,non-correctable,00000000,non-correctable,1987-21-56,valid
45,payqeex,zoueghyuteC,2968669Z,1993-35-42,invalid@example.com,non-correctable,00000000,non-correctable,1993-35-42,valid
46,mzxhirx,pjbsvyhouzC,5278016q,1997-79-78,invalid@example.com,non-correctable,00000000,non-correctable,1997-79-78,valid
47,lcbnzcf,mozgzkcqbjM,5074443P,1972-97-34,invalid@example.com,non-correctable,00000000,non-correctable,1972-97-34,valid
49,ecxwppo,utbwkugikpd,1448200J,1975-29-56,invalid@example.com,non-correctable,00000000,non-correctable,1975-29-56,valid
52,vkastik,nrmnokmlrhw,4836653f,1992-51-83,invalid@example.com,non-correctable,00000000,non-correctable,1992-51-83,valid
55,fyzqnur,aymprzriqsH,0502480a,1976-25-75,invalid@example.com,non-correctable,00000000,non-correctable,1976-25-75,valid
56,geuxcft,dftpvoijuxh,9168129g,1979-61-54,invalid@example.com,non-correctable,00000000,non-correctable,1979-61-54,valid
58,wnoqeqx,iyvvdoigjyQ,3124553J,1994-21-33,invalid@example.com,non-correctable,00000000,non-correctable,1994-21-33,valid
59,itaiipj,ebpwkdinxed,4759259f,1994-21-43,invalid@example.com,non-correctable,00000000,non-correctable,1994-21-43,valid
60,eyekumj,vabylscflwW,1388349D,1988-48-97,invalid@example.com,non-correctable,00000000,non-correctable,1988-48-97,valid
61,uptcjfl,nhfymywvffG,4311881a,1971-52-43,invalid@example.com,non-correctable,00000000,non-correctable,1971-52-43,valid
63,ukzlpmk,uyrumwhpsbM,8669298c,1988-28-54,invalid@example.com,non-correctable,00000000,non-correctable,1988-28-54,valid
64,evietzl,ljkxoquqyde,6748924k,1994-43-38,invalid@example.com,non-correctable,00000000,non-correctable,1994-43-38,valid
66,axkxkrf,xlsxwsyguaA,3792424L,1992-96-49,invalid@example.com,non-correctable,00000000,non-correctable,1992-96-49,valid
71,mkklpwg,pewlqbeotsn,9855004g,1997-81-74,invalid@example.com,non-correctable,00000000,non-correctable,1997-81-74,valid
72,wpsxbbk,ecxryghrtfH,4113118y,1995-90-86,invalid@example.com,non-correctable,00000000,non-correctable,1995-90-86,valid
73,wlbhzgt,mtarafpbnxw,5593753R,1985-81-90,invalid@example.com,non-correctable,00000000,non-correctable,1985-81-90,valid
75,urnplys,hbrgfgjfesw,9086671M,1987-36-75,invalid@example.com,non-correctable,00000000,non-correctable,1987-36-75,valid
77,xlqurqg,hnyluryytmc,2514299k,1994-61-42,invalid@example.com,non-correctable,00000000,non-correctable,1994-61-42,valid
78,hmnmcug,kqubjwpeghD,9592720u,1994-97-54,invalid@example.com,non-correctable,00000000,non-correctable,1994-97-54,valid
79,dftdwvb,lpytnszaidl,7732345h,1988-27-55,invalid@example.com,non-correctable,00000000,non-correctable,1988-27-55,valid
81,cvxwitx,xcjqcquydaD,5933156m,1994-80-99,invalid@example.com,non-correctable,00000000,non-correctable,1994-80-99,valid
84,jngjoel,vztmocvzeaA,5230752l,1977-82-35,invalid@example.com,non-correctable,00000000,non-correctable,1977-82-35,valid
85,ktehetl,wfqdvsuqvnm,8321370l,1996-74-35,invalid@example.com,non-correctable,00000000,non-correctable,1996-74-35,valid
89,whibbeg,emqxphjcweK,7971924L,1985-79-75,invalid@example.com,non-correctable,00000000,non-correctable,1985-79-75,valid
95,irmzpge,oxctsnyowcH,1854842b,1987-45-70,invalid@example.com,non-correctable,00000000,non-correctable,1987-45-70,valid
97,terxzpi,xzsumtwyzdS,4612281D,1983-22-98,invalid@example.com,non-correctable,00000000,non-correctable,1983-22-98,valid
98,haxhrzt,fecfeinqqza,4550788h,1982-72-35,invalid@example.com,non-correctable,00000000,non-correctable,1982-72-35,valid
